date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:33	202/202	---M-Z	200	added ('OK')	text/plain	date:Tue,%2004%20Mar%202025%2022:24:35%20GMT	https://thirtysecondstomars.com/robots.txt		(from )
14:24:37	432483/432483	---MCZ	200	added ('OK')	text/html	etag:%22acd21d3e5bac0a4e7ba0f074b0e4fada%22	https://thirtysecondstomars.com/	C:/Users/HP/Documents/File/Website/thirtysecondstomars%20Mine/thirtysecondstomars.com/index.html	(from )
14:24:37	6275/6275	---M-Z	200	added ('OK')	application/javascript	etag:%221883-62f87c8d7d4c2-gzip%22	https://thirtysecondstomars.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	C:/Users/HP/Documents/File/Website/thirtysecondstomars%20Mine/thirtysecondstomars.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	(from https://thirtysecondstomars.com/)
14:24:38	27878/27878	---M-Z	200	added ('OK')	application/rss+xml	etag:%22cf8f7a7d8ff9cb093ed838585f8c5a59-gzip%22	https://thirtysecondstomars.com/feed	C:/Users/HP/Documents/File/Website/thirtysecondstomars%20Mine/thirtysecondstomars.com/feed	(from https://thirtysecondstomars.com/)
14:24:40	1085/1085	---M-Z	200	added ('OK')	application/rss+xml	etag:%225189960aff6386ba86d9207fded60ef1-gzip%22	https://thirtysecondstomars.com/comments/feed	C:/Users/HP/Documents/File/Website/thirtysecondstomars%20Mine/thirtysecondstomars.com/comments/feed	(from https://thirtysecondstomars.com/)
14:24:42	1413/1413	---M-Z	200	added ('OK')	text/css	etag:%22585-60a0b4179e2ef-gzip%22	https://thirtysecondstomars.com/wp-content/plugins/woocommerce-subscriptions/vendor/woocommerce/subscriptions-core/build/index.css?ver=6.5.0	C:/Users/HP/Documents/File/Website/thirtysecondstomars%20Mine/thirtysecondstomars.com/wp-content/plugins/woocommerce-subscriptions/vendor/woocommerce/subscriptions-core/build/indexe6df.css	(from https://thirtysecondstomars.com/)
14:24:43	41525/41525	---M-Z	200	added ('OK')	text/css	etag:%22a235-60a2186f6f7ea-gzip%22	https://thirtysecondstomars.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.4.1	C:/Users/HP/Documents/File/Website/thirtysecondstomars%20Mine/thirtysecondstomars.com/wp-content/themes/astra/assets/css/minified/main.mina94e.css	(from https://thirtysecondstomars.com/)
14:24:43	7621/7621	---M-Z	200	added ('OK')	text/css	etag:%221dc5-62f87bdc1cf94-gzip%22	https://thirtysecondstomars.com/wp-content/plugins/easy-login-woocommerce/xoo-form-fields-fw/assets/css/xoo-aff-style.css?ver=2.0.2	C:/Users/HP/Documents/File/Website/thirtysecondstomars%20Mine/thirtysecondstomars.com/wp-content/plugins/easy-login-woocommerce/xoo-form-fields-fw/assets/css/xoo-aff-style4c56.css	(from https://thirtysecondstomars.com/)
14:24:46	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.7.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/Users/HP/Documents/File/Website/thirtysecondstomars%20Mine/c0.wp.com/c/6.7.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://thirtysecondstomars.com/)
14:24:50	4186/4186	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.7.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/Users/HP/Documents/File/Website/thirtysecondstomars%20Mine/c0.wp.com/c/6.7.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://thirtysecondstomars.com/)
